Metric,Default_Threshold,Best_Threshold
Accuracy,0.7984386089425124,0.7629524485450674
Precision,0.65625,0.5377358490566038
Recall,0.5053475935828877,0.7620320855614974
F1,0.5709969788519638,0.6305309734513275
ROC-AUC,0.8438102250122711,0.8438102250122711
PR-AUC,0.661342150504141,0.661342150504141
