Feature,Importance_Mean,Importance_STD
Contract,0.07565618473492695,0.0063931109790940676
InternetService,0.014591218342164657,0.002090740713218916
tenure,0.01325798684894538,0.001783246522615602
TotalCharges,0.012466939962972856,0.0015208363441586146
Average_Monthly_Spend,0.01023356346159121,0.001730508555509138
Customer_Lifetime_Months,0.009280864394568256,0.0014128709155966236
MonthlyCharges,0.007570976479493741,0.0020647396344978266
TechSupport,0.007178474039891058,0.001121845878580447
MultipleLines,0.006575185364207692,0.0015209161211485178
OnlineSecurity,0.004427308958586151,0.0017268070288461127
PaymentMethod,0.003823792282647465,0.0014988104345588814
SeniorCitizen,0.002635226951454339,0.0010568062952987752
PaperlessBilling,0.0019621701976307525,0.0007318330162226675
StreamingTV,0.001917824147963132,0.0004518341669915556
OnlineBackup,0.0015340997181917837,0.00058616334848868
Service_Count,0.001177507318808313,0.0009189325994555225
gender,0.0006143466880684123,0.0003161786707770147
Paperless_Billing_Flag,0.0006071646800245523,0.00038429515749385183
Dependents,0.0006061386788754119,0.0003125799725155979
Automatic_Payment_Flag,0.000532266596138653,0.0004973339550520303
Short_Tenure_Flag,0.00010294211529526809,0.00014643053474541282
PhoneService,9.95221114648559e-05,0.0002889983283010276
DeviceProtection,8.242209231282827e-05,0.00020369819581960154
Partner,1.0716012001987796e-05,1.2023636215039132e-05
High_Monthly_Charge_Flag,0.0,0.0
Customer_Segment,-5.46060611586574e-05,7.078196229681999e-05
StreamingMovies,-0.0003124743499711924,0.00032897381297774804
