Threshold,Accuracy,Precision,Recall,F1
0.1,0.6238466997870831,0.40930232558139534,0.9411764705882353,0.5705024311183144
0.15000000000000002,0.6792051100070973,0.4475806451612903,0.8903743315508021,0.5957066189624329
0.20000000000000004,0.7125621007806955,0.47655068078668683,0.8422459893048129,0.6086956521739131
0.25000000000000006,0.7416607523066004,0.5085616438356164,0.7941176470588235,0.6200417536534447
0.30000000000000004,0.7629524485450674,0.5377358490566038,0.7620320855614974,0.6305309734513275
0.3500000000000001,0.7757274662881476,0.5617021276595745,0.7058823529411765,0.6255924170616114
0.40000000000000013,0.7856635911994322,0.59,0.6310160427807486,0.6098191214470284
0.45000000000000007,0.7977288857345636,0.6320474777448071,0.56951871657754,0.5991561181434599
0.5000000000000001,0.7984386089425124,0.65625,0.5053475935828877,0.5709969788519638
0.5500000000000002,0.7984386089425124,0.6890756302521008,0.4385026737967914,0.5359477124183006
0.6000000000000002,0.7963094393186657,0.7430167597765364,0.35561497326203206,0.4810126582278481
0.6500000000000001,0.7906316536550745,0.7687074829931972,0.30213903743315507,0.43378119001919385
0.7000000000000002,0.7821149751596878,0.8018018018018018,0.23796791443850268,0.3670103092783505
