Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Gradient Boosting,0.7984386089425124,0.65625,0.5053475935828877,0.5709969788519638,0.8438102250122711,0.661342150504141
XGBoost,0.7991483321504613,0.657439446366782,0.5080213903743316,0.5731523378582202,0.8434498437055982,0.6568983378869696
Random Forest,0.765791341376863,0.5408921933085502,0.7780748663101604,0.6381578947368421,0.8421155286884187,0.6522467775425544
Logistic Regression,0.7352732434350603,0.5008431703204047,0.7941176470588235,0.6142709410548087,0.8415949779121134,0.6314263861766077
Decision Tree,0.7359829666430092,0.5017182130584192,0.7807486631016043,0.6108786610878661,0.8248159342788499,0.6169683730844803
